scientific_name,common_name,family,height (feet),height_min,height_max,spread (feet),spread_min,spread_max,type,bloom_time,bloom_start,bloom_end,maintenance,sun,sun_max,sun_min,water,zone,zone_min,zone_max,bloom_desc,native_range
Ilex opaca,American Holly,Aquifoliaceae,15.00 to 30.00,15.0,30.0,10.00 to 20.00,10.0,20.0,Broadleaf evergreen,May,May,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Creamy white, Eastern and central United States
Ilex opaca 'Canary',American Holly,Aquifoliaceae,15.00 to 30.00,15.0,30.0,8.00 to 15.00,8.0,15.0,Broadleaf evergreen,May,May,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,White,
Ilex opaca 'Chief Paduke',American Holly,Aquifoliaceae,15.00 to 30.00,15.0,30.0,8.00 to 20.00,8.0,20.0,Broadleaf evergreen,May,May,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Greenish-white,
Ilex opaca 'Clarendon',American Holly,Aquifoliaceae,3.00 to 4.00,3.0,4.0,4.00 to 8.00,4.0,8.0,Broadleaf evergreen,May,May,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Greenish-white,
Ilex opaca 'Delia Bradley',American Holly,Aquifoliaceae,20.00 to 30.00,20.0,30.0,10.00 to 15.00,10.0,15.0,Broadleaf evergreen,May,May,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Greenish-white,
Ilex opaca 'Greenleaf',American Holly,Aquifoliaceae,20.00 to 25.00,20.0,25.0,10.00 to 15.00,10.0,15.0,Broadleaf evergreen,May,May,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Greenish-white,
Ilex opaca 'Jersey Knight',American Holly,Aquifoliaceae,20.00 to 30.00,20.0,30.0,8.00 to 20.00,8.0,20.0,Broadleaf evergreen,May,May,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Greenish-white,
Ilex opaca 'Mac's Prince',American Holly,Aquifoliaceae,15.00 to 30.00,15.0,30.0,10.00 to 20.00,10.0,20.0,Broadleaf evergreen,May,May,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Creamy white,
Ilex opaca 'Mae',American Holly,Aquifoliaceae,15.00 to 20.00,15.0,20.0,10.00 to 15.00,10.0,15.0,Broadleaf evergreen,May,May,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Greenish-white,
Ilex opaca 'Mamie Eisenhower',American Holly,Aquifoliaceae,15.00 to 30.00,15.0,30.0,8.00 to 20.00,8.0,20.0,Broadleaf evergreen,May,May,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Greenish-white,
Ilex opaca 'Maryland Dwarf',American Holly,Aquifoliaceae,2.00 to 3.00,2.0,3.0,3.00 to 10.00,3.0,10.0,Broadleaf evergreen,May,May,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Greenish-white,
Ilex opaca 'McDonald',American Holly,Aquifoliaceae,15.00 to 30.00,15.0,30.0,10.00 to 20.00,10.0,20.0,Broadleaf evergreen,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Creamy-white,
Ilex opaca 'Miss Helen',American Holly,Aquifoliaceae,15.00 to 25.00,15.0,25.0,10.00 to 18.00,10.0,18.0,Broadleaf evergreen,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Greenish-white,
Ilex opaca 'Steward's Silver Crown',American Holly,Aquifoliaceae,15.00 to 25.00,15.0,25.0,10.00 to 18.00,10.0,18.0,Broadleaf evergreen,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Greenish-white,
Ilex opaca 'W. M. Hawkins',American Holly,Aquifoliaceae,0.50 to 1.00,0.5,1.0,0.25 to 0.75,0.25,0.75,Broadleaf evergreen,May,May,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Creamy white,
Ilex opaca 'Waysides Christmas Tree',Holly,Aquifoliaceae,15.00 to 25.00,15.0,25.0,10.00 to 18.00,10.0,18.0,Broadleaf evergreen,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Greenish-white,
Ilex opaca 'William Hawkins',American Holly,Aquifoliaceae,6.00 to 15.00,6.0,15.0,6.00 to 12.00,6.0,12.0,Broadleaf evergreen,May,May,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Greenish-white,
Ilex pedunculosa,Longstalk Holly,Aquifoliaceae,10.00 to 20.00,10.0,20.0,10.00 to 15.00,10.0,15.0,Broadleaf evergreen,June,June,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 8,5,8,Greenish white," Japan, China, Taiwan"
Ilex 'Rock Garden',Holly,Aquifoliaceae,0.50 to 1.00,0.5,1.0,1.00 to 2.00,1.0,2.0,Broadleaf evergreen,May,May,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Greenish-white,
Ilex 'Sparkleberry',Winterberry,Aquifoliaceae,6.00 to 10.00,6.0,10.0,6.00 to 10.00,6.0,10.0,Deciduous shrub,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium to wet,5 to 9,5,9,Greenish-white,
Ilex verticillata,Winterberry,Aquifoliaceae,6.00 to 12.00,6.0,12.0,6.00 to 12.00,6.0,12.0,Deciduous shrub,June to July,June,July,Low,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,Greenish-white, Eastern North America
Ilex verticillata 'Afterglow',Winterberry,Aquifoliaceae,3.00 to 6.00,3.0,6.0,3.00 to 6.00,3.0,6.0,Deciduous shrub,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,Greenish-white,
Ilex verticillata 'Cacapon',Winterberry,Aquifoliaceae,6.00 to 8.00,6.0,8.0,6.00 to 8.00,6.0,8.0,Deciduous shrub,June to July,June,July,Low,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,White,
Ilex verticillata 'Goldfinch',Winterberry,Aquifoliaceae,3.00 to 7.00,3.0,7.0,3.00 to 7.00,3.0,7.0,Deciduous shrub,June to July,June,July,Low,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,Greenish-white,
Ilex verticillata 'Jim Dandy',Winterberry,Aquifoliaceae,3.00 to 6.00,3.0,6.0,4.00 to 8.00,4.0,8.0,Deciduous shrub,June to July,June,July,Low,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,Dull white,
Ilex verticillata 'Maryland Beauty',Winterberry,Aquifoliaceae,5.00 to 7.00,5.0,7.0,5.00 to 7.00,5.0,7.0,Deciduous shrub,May,May,,Low,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,Greenish-white,
Ilex verticillata 'Nana' RED SPRITE,Winterberry,Aquifoliaceae,2.50 to 3.00,2.5,3.0,2.50 to 3.00,2.5,3.0,Deciduous shrub,June to July,June,July,Low,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,Dull white,
Ilex verticillata 'Oosterwijk',Winterberry,Aquifoliaceae,4.00 to 6.00,4.0,6.0,6.00 to 8.00,6.0,8.0,Deciduous shrub,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,Greenish-white,
Ilex verticillata 'Shortcake',Winterberry,Aquifoliaceae,3.00 to 5.00,3.0,5.0,2.00 to 4.00,2.0,4.0,Deciduous shrub,June to July,June,July,Low,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,Greenish-white,
Ilex verticillata 'Southern Gentleman',Winterberry,Aquifoliaceae,6.00 to 8.00,6.0,8.0,6.00 to 8.00,6.0,8.0,Deciduous shrub,June to July,June,July,Low,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,White,
Ilex verticillata 'Spriber' BERRY NICE,Winterberry,Aquifoliaceae,6.00 to 8.00,6.0,8.0,6.00 to 8.00,6.0,8.0,Deciduous shrub,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,White,
Ilex verticillata 'Winter Gold',Winterberry,Aquifoliaceae,5.00 to 8.00,5.0,8.0,5.00 to 8.00,5.0,8.0,Deciduous shrub,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,Greenish-white,
Ilex verticillata 'Winter Red',Winterberry,Aquifoliaceae,6.00 to 8.00,6.0,8.0,6.00 to 8.00,6.0,8.0,Deciduous shrub,June to July,June,July,Low,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,White,
Ilex vomitoria,Yaupon,Aquifoliaceae,10.00 to 20.00,10.0,20.0,8.00 to 12.00,8.0,12.0,Broadleaf evergreen,April,April,,Medium,Full sun to part shade,full sun,part shade,Medium to wet,7 to 9,7,9,White," Southeastern United States, Mexico"
Ilex vomitoria 'Nana',Yaupon,Aquifoliaceae,3.00 to 5.00,3.0,5.0,3.00 to 6.00,3.0,6.0,Broadleaf evergreen,April,April,,Medium,Full sun to part shade,full sun,part shade,Medium to wet,7 to 9,7,9,Greenish white,
Iliamna remota,Kankakee Mallow,Malvaceae,4.00 to 6.00,4.0,6.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,June to July,June,July,Low,Full sun to part shade,full sun,part shade,Medium,5 to 6,5,6,Apple blossom to bluish pink," Illinois, Indiana, Virginia, Wisconsin"
Illicium floridanum,Florida Anise Tree,Schisandraceae,6.00 to 10.00,6.0,10.0,4.00 to 8.00,4.0,8.0,Broadleaf evergreen,April to May,April,May,Medium,Part shade to full shade,part shade,full shade,Medium to wet,7 to 10,7,10,Dark red," Southeastern United States, northern Mexico"
Illicium parviflorum,Small Anise Tree,Schisandraceae,10.00 to 15.00,10.0,15.0,6.00 to 10.00,6.0,10.0,Broadleaf evergreen,May to June,May,June,Medium,Part shade to full shade,part shade,full shade,Medium to wet,7 to 10,7,10,Yellow-green, Florida
Illicium parviflorum 'Florence',Small Anise Tree,Schisandraceae,6.00 to 8.00,6.0,8.0,6.00 to 9.00,6.0,9.0,Broadleaf evergreen,May to June,May,June,Medium,Full sun to part shade,full sun,part shade,Medium,7 to 10,7,10,Yellow,
Impatiens balsamina,Garden Balsam,Balsaminaceae,0.50 to 2.50,0.5,2.5,0.50 to 1.50,0.5,1.5,Annual,May to frost,May,frost,Low,Full sun to part shade,full sun,part shade,Medium,2 to 11,2,11,"Pink, rose, red, purple, white and bicolor"," India, southeast Asia"
Impatiens BOUNCE SERIES,Impatiens,Balsaminaceae,1.25 to 1.75,1.25,1.75,1.25 to 1.75,1.25,1.75,Annual,May to October,May,October,Medium,Part shade to full shade,part shade,full shade,Medium,10 to 11,10,11,"White, Red, Pink",
Impatiens capensis,Jewelweed,Balsaminaceae,2.00 to 5.00,2.0,5.0,1.50 to 2.50,1.5,2.5,Annual,June to September,June,September,Medium,Part shade to full shade,part shade,full shade,Medium to wet,2 to 11,2,11,Orange to orange-yellow with red spotting, North America
Impatiens hawkeri (group),New Guinea Impatiens,Balsaminaceae,0.75 to 4.00,0.75,4.0,1.50 to 3.00,1.5,3.0,Herbaceous perennial,Flowers freely,Flowers freely,,Medium,Part shade,part shade,,Medium,10 to 12,10,12,Wide variety,
Impatiens omeiana,Hardy Impatiens,Balsaminaceae,0.75 to 1.50,0.75,1.5,0.75 to 1.50,0.75,1.5,Herbaceous perennial,September to October,September,October,Low,Part shade to full shade,part shade,full shade,Medium,6 to 9,6,9,Yellow, China
Impatiens SUNPATIENS COMPACT FIRE RED,New Guinea Impatiens,Balsaminaceae,1.25 to 2.50,1.25,2.5,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to frost,May,frost,Medium,Full sun to part shade,full sun,part shade,Medium,10 to 11,10,11,Red,
Impatiens SUNPATIENS SERIES,New Guinea Impatiens,Balsaminaceae,1.50 to 4.00,1.5,4.0,,,,Herbaceous perennial,Flowers freely,Flowers freely,,Low,Full sun to part shade,full sun,part shade,Medium,10 to 12,10,12,"Pink, coral, orange, salmon, red, lilac, lavender and white",
Impatiens walleriana,Busy Lizzy,Balsaminaceae,0.50 to 2.00,0.5,2.0,0.50 to 2.00,0.5,2.0,Herbaceous perennial,June to frost,June,frost,Low,Part shade to full shade,part shade,full shade,Medium,10 to 11,10,11,"Pink, rose, red, lilac, purple, orange, white & bicolors"," Tanzania, Mozambique"
Imperata cylindrica,Cogon Grass,Poaceae,2.00 to 4.00,2.0,4.0,2.00 to 4.00,2.0,4.0,Ornamental grass,Rarely flowers,Rarely flowers,,Medium,Full sun to part shade,full sun,part shade,Dry to medium,5 to 9,5,9,, Japan
Imperata cylindrica 'Rubra',Japanese Blood Grass,Poaceae,2.00 to 4.00,2.0,4.0,2.00 to 4.00,2.0,4.0,Ornamental grass,Rarely flowers,Rarely flowers,,Medium,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Rarely flowers,
Incarvillea delavayi,Incarvillea,Bignoniaceae,1.50 to 2.00,1.5,2.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,July to August,July,August,Medium,Full sun to part shade,full sun,part shade,Medium,5 to 7,5,7,Pinkish-red with yellow throat, Southwestern China
Incarvillea sinensis 'Cheron Pink',Incarvillea,Bignoniaceae,0.75 to 1.50,0.75,1.5,0.50 to 1.00,0.5,1.0,Herbaceous perennial,June to September,June,September,Medium,Full sun to part shade,full sun,part shade,Medium,5 to 7,5,7,Pink,
Indigofera amblyantha,Chinese Indigo,Fabaceae,4.00 to 6.00,4.0,6.0,4.00 to 6.00,4.0,6.0,Deciduous shrub,May to September,May,September,Low,Full sun,full sun,,Medium,6 to 8,6,8,Lilac to rose to pink, Western China
Indigofera decora,Chinese Indigo,Fabaceae,1.00 to 2.50,1.0,2.5,3.00 to 4.00,3.0,4.0,Herbaceous perennial,June to July,June,July,Low,Full sun,full sun,,Medium,5 to 8,5,8,Pink," China, Japan"
Indigofera decora f. alba,Chinese Indigo,Fabaceae,1.00 to 1.50,1.0,1.5,2.00 to 6.00,2.0,6.0,Deciduous shrub,June to July,June,July,Low,Full sun,full sun,,Medium,5 to 8,5,8,White," Japan, central China"
Indigofera kirilowii,Indigo,Fabaceae,2.00 to 3.00,2.0,3.0,2.00 to 3.00,2.0,3.0,Deciduous shrub,June to July,June,July,Medium,Full sun,full sun,,Medium,5 to 7,5,7,Rose," Korea, northern China, southern Japan"
Indigofera 'Little Pinkie',Indigo,Fabaceae,2.00 to 3.00,2.0,3.0,3.00 to 4.00,3.0,4.0,Deciduous shrub,June to July,June,July,Low,Full sun,full sun,,Medium,6 to 9,6,9,Cerise pink,
Indigofera 'Rose Carpet',Indigo,Fabaceae,0.50 to 1.00,0.5,1.0,1.00 to 4.00,1.0,4.0,Deciduous shrub,June to July,June,July,Low,Full sun,full sun,,Medium,5 to 8,5,8,Rose,
Indigofera tinctoria,Indigofera,Fabaceae,2.00 to 3.00,2.0,3.0,2.00 to 3.00,2.0,3.0,Broadleaf evergreen,July to August,July,August,Medium,Full sun,full sun,,Medium,10 to 12,10,12,Pink to violet," Tropical Africa, south-central Asia, Mexico, South America"
Inula britannica,British Yellowhead,Asteraceae,1.00 to 2.50,1.0,2.5,0.75 to 2.00,0.75,2.0,Herbaceous perennial,June to September,June,September,Low,Full sun to part shade,full sun,part shade,Medium to wet,5 to 8,5,8,Yellow, Europe and temperate Asia
Inula conyza,Ploughman's Spikenard,Asteraceae,3.00 to 4.00,3.0,4.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,July to September,July,September,Medium,Full sun to part shade,full sun,part shade,Dry to medium,6 to 8,6,8,Yellow, Central and southeastern Europe to northern Africa and western Asia
Inula helenium,Elecampane,Asteraceae,3.00 to 6.00,3.0,6.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,July to September,July,September,Low,Full sun to part shade,full sun,part shade,Medium,3 to 7,3,7,Yellow, Eurasia
Inula verbascifolia,Inula,Asteraceae,0.50 to 1.00,0.5,1.0,0.50 to 1.50,0.5,1.5,Herbaceous perennial,July to August,July,August,Low,Full sun to part shade,full sun,part shade,Medium,5 to 8,5,8,Yellow, Southeastern Europe
Iodanthus pinnatifidus,Purple Rocket,Brassicaceae,1.00 to 3.00,1.0,3.0,1.00 to 2.00,1.0,2.0,Herbaceous perennial,May to June,May,June,Low,Part shade to full shade,part shade,full shade,Medium to wet,4 to 8,4,8,Light violet fading to white, Eastern and central United States
Ionactis linariifolia,Stiff Aster,Asteraceae,1.00 to 2.00,1.0,2.0,0.50 to 1.00,0.5,1.0,Herbaceous perennial,July,July,,Low,Full sun,full sun,,Dry to medium,4 to 9,4,9,Blue-violet to purple with yellow centers, Eastern North America
Ipheion uniflorum,Spring Starflower,Amaryllidaceae,0.25 to 0.50,0.25,0.5,0.25 to 0.50,0.25,0.5,Bulb,April,April,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Pale to dark blue," Uruguay, Argentina, Chile"
Ipheion uniflorum 'Charlotte Bishop',Spring Starflower,Amaryllidaceae,0.25 to 0.50,0.25,0.5,0.25 to 0.50,0.25,0.5,Bulb,April,April,,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Pink,
Ipomoea alba,Moonflower,Convolvulaceae,10.00 to 15.00,10.0,15.0,3.00 to 6.00,3.0,6.0,Vine,July to October,July,October,Low,Full sun,full sun,,Medium,10 to 12,10,12,White," Central America, South America, Florida"
Ipomoea aquatica,Swamp Morning-glory,Convolvulaceae,0.50 to 1.00,0.5,1.0,10.00 to 70.00,10.0,70.0,Annual,Rarely flowers,Rarely flowers,,Low,Full sun,full sun,,Medium to wet,2 to 11,2,11,"White, pink, purple"," Southern Africa, Southeastern Asia, Australia"
Ipomoea batatas,Sweet Potato,Convolvulaceae,0.50 to 1.00,0.5,1.0,8.00 to 10.00,8.0,10.0,Herbaceous perennial,Rarely flowers,Rarely flowers,,Low,Full sun,full sun,,Medium,9 to 11,9,11,Pale pink to violet (cultivars mostly non-flowering), Mexico
Ipomoea batatas 'NCORNSP-021SHJB' SWEET CAROLINE SWEETHEART JET BLACK,Sweet Potato Vine,Convolvulaceae,0.50 to 1.00,0.5,1.0,1.50 to 3.00,1.5,3.0,Herbaceous perennial,Rarely flowers,Rarely flowers,,Low,Full sun to part shade,full sun,part shade,Medium,9 to 11,9,11,Purple,
Ipomoea lobata,Spanish Flag,Convolvulaceae,10.00 to 16.00,10.0,16.0,1.00 to 2.00,1.0,2.0,Vine,July to frost,July,frost,Low,Full sun,full sun,,Medium,10 to 11,10,11,Gradient of red to pale yellow, Mexico
Allium 'Serendipity',Ornamental Onion,Amaryllidaceae,1.00 to 1.75,1.0,1.75,1.00 to 1.50,1.0,1.5,Bulb,July to August,July,August,Low,Full sun to part shade,full sun,part shade,Dry to medium,4 to 8,4,8,Purple,
Allium sphaerocephalon,Round-headed Leek,Amaryllidaceae,2.00 to 3.00,2.0,3.0,1.00 to 1.50,1.0,1.5,Bulb,June to July,June,July,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Deep green changing to rose purple," Europe, northern Africa, western Asia"
Allium stellatum,Prairie Onion,Amaryllidaceae,1.00 to 1.50,1.0,1.5,0.50 to 1.00,0.5,1.0,Bulb,July to September,July,September,Low,Full sun to part shade,full sun,part shade,Dry to medium,3 to 8,3,8,Reddish-pink, North America
Allium 'Sugar Melt',Ornamental Onion,Amaryllidaceae,0.50 to 1.50,0.5,1.5,0.50 to 1.50,0.5,1.5,Bulb,July to September,July,September,Low,Full sun to part shade,full sun,part shade,Dry to medium,5 to 8,5,8,Pink,
Allium thunbergii 'Ozawa',Ornamental Onion,Amaryllidaceae,0.75 to 1.00,0.75,1.0,0.50 to 0.75,0.5,0.75,Herbaceous perennial,September to October,September,October,Low,Full sun to part shade,full sun,part shade,Medium,4 to 9,4,9,red-violet,
Allium tuberosum,Garlic Chives,Amaryllidaceae,1.00 to 1.50,1.0,1.5,1.00 to 2.00,1.0,2.0,Bulb,August to September,August,September,Medium,Full sun to part shade,full sun,part shade,Dry to medium,3 to 9,3,9,Creamy white, Southeastern Asia
Allium ursinum,Wild Garlic,Amaryllidaceae,0.50 to 1.00,0.5,1.0,0.50 to 1.00,0.5,1.0,Bulb,April to June,April,June,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,White," Europe, Russia"
Alluaudia dumosa,Alluaudia,Didiereaceae,5.00 to 10.00,5.0,10.0,4.00 to 2.00,4.0,2.0,Deciduous shrub,Seasonal bloomer,Seasonal bloomer,,Medium,Full sun to part shade,full sun,part shade,Dry to medium,9 to 11,9,11,"White, Pink, Green", Southern Madagascar
Alluaudia humbertii,Alluaudia,Didiereaceae,16.00 to 20.00,16.0,20.0,16.00 to 20.00,16.0,20.0,Deciduous shrub,Seasonal bloomer,Seasonal bloomer,,Medium,Full sun to part shade,full sun,part shade,Dry to medium,9 to 10,9,10,White, Southern Madagascar
Alnus cordata,Italian Alder,Betulaceae,30.00 to 50.00,30.0,50.0,20.00 to 30.00,20.0,30.0,Tree,March,March,,Low,Full sun to part shade,full sun,part shade,Medium to wet,5 to 7,5,7,"Yellowish-green (male), reddish-green (female)", Corsica
Alnus glutinosa,European Alder,Betulaceae,40.00 to 60.00,40.0,60.0,20.00 to 40.00,20.0,40.0,Tree,March,March,,Low,Full sun to part shade,full sun,part shade,Medium to wet,3 to 7,3,7,"Reddish-brown (male), purple (female)"," Europe, northern Africa, western Asia"
Alnus incana,Grey Alder,Betulaceae,40.00 to 60.00,40.0,60.0,30.00 to 50.00,30.0,50.0,Tree,March,March,,Low,Full sun to part shade,full sun,part shade,Medium to wet,2 to 6,2,6,Purplish-brown (male) and green (female)," Europe, Caucasus"
Alnus incana subsp. rugosa,Hazel Alder,Betulaceae,15.00 to 25.00,15.0,25.0,15.00 to 25.00,15.0,25.0,Tree,March,March,,Low,Full sun to part shade,full sun,part shade,Medium to wet,2 to 6,2,6,Purplish-brown (male) and green (female)," Canada, northeastern United States"
Alnus japonica,Japanese Alder,Betulaceae,40.00 to 60.00,40.0,60.0,30.00 to 50.00,30.0,50.0,Tree,March,March,,Low,Full sun to part shade,full sun,part shade,Medium to wet,5 to 7,5,7,Yellow-brown (male) and purplish (female)," Japan, Korea, Manchuria"
Alnus maritima,Seaside Alder,Betulaceae,20.00 to 30.00,20.0,30.0,16.00 to 29.00,16.0,29.0,Tree,August to September,August,September,Medium,Full sun to part shade,full sun,part shade,Medium to wet,4 to 7,4,7,Yellow," Delaware, Georgia, Maryland, Oklahoma"
Alnus maritima subsp. oklahomensis 'September Sun',Seaside Alder,Betulaceae,20.00 to 25.00,20.0,25.0,16.00 to 20.00,16.0,20.0,Tree,August to September,August,September,Medium,Full sun to part shade,full sun,part shade,Medium to wet,4 to 7,4,7,Yellow,
Alnus × mayrii,Alder,Betulaceae,30.00 to 50.00,30.0,50.0,20.00 to 40.00,20.0,40.0,Tree,March,March,,Low,Full sun to part shade,full sun,part shade,Medium to wet,4 to 7,4,7,Yellowish-brown (male) Purple (female)," Korea, China"
Alnus serrulata,Hazel Alder,Betulaceae,10.00 to 20.00,10.0,20.0,8.00 to 15.00,8.0,15.0,Tree,March to April,March,April,Low,Full sun to part shade,full sun,part shade,Medium to wet,4 to 9,4,9,Brownish-yellow (male) and red (female), Eastern United States
Alocasia × amazonica,Elephant's Ear,Araceae,1.00 to 2.00,1.0,2.0,1.00 to 2.00,1.0,2.0,Bulb,Seasonal bloomer,Seasonal bloomer,,Medium,Part shade,part shade,,Medium,10 to 12,10,12,Greenish white, Garden origin
Alocasia × amazonica 'Polly',Amazonian Elephant's Ear,Araceae,1.00 to 2.00,1.0,2.0,1.00 to 2.00,1.0,2.0,Bulb,Seasonal bloomer,Seasonal bloomer,,Medium,Part shade,part shade,,Medium,10 to 12,10,12,Greenish white,
Alocasia 'Frydek',Elephant's Ear,Araceae,2.00 to 3.00,2.0,3.0,2.00 to 3.00,2.0,3.0,Bulb,Seasonal bloomer,Seasonal bloomer,,Medium,Part shade,part shade,,Medium,9 to 11,9,11,Light green spathe with creamy white spadix,
Alocasia (group),Elephant's Ear,Araceae,2.00 to 6.00,2.0,6.0,2.00 to 6.00,2.0,6.0,Bulb,Rarely flowers,Rarely flowers,,Low,Full sun to part shade,full sun,part shade,Medium to wet,10 to 11,10,11,Creamy white,
Alocasia LOW RIDER,Elephant's Ear,Araceae,1.00 to 2.00,1.0,2.0,1.00 to 2.00,1.0,2.0,Bulb,Seasonal bloomer,Seasonal bloomer,,Medium,Full sun to part shade,full sun,part shade,Medium,7 to 11,7,11,Pale green spathe and white spadix,
Alocasia macrorrhizos,Giant Elephant's Ear,Araceae,12.00 to 15.00,12.0,15.0,6.00 to 8.00,6.0,8.0,Bulb,Seasonal bloomer,Seasonal bloomer,,Medium,Part shade,part shade,,Medium to wet,9 to 11,9,11,Greenish-white," Australia, Malesia, Papuasia"
Ipomoea mauritiana,Morning Glory,Convolvulaceae,10.00 to 15.00,10.0,15.0,2.00 to 4.00,2.0,4.0,Vine,Seasonal bloomer,Seasonal bloomer,,Low,Full sun,full sun,,Medium,10 to 12,10,12,Pink to reddish-pink,
Ipomoea × multifida,Cardinal Climber,Convolvulaceae,10.00 to 15.00,10.0,15.0,0.50 to 1.00,0.5,1.0,Vine,July to frost,July,frost,Low,Full sun,full sun,,Medium,3 to 11,3,11,Red,
Ipomoea pandurata,Wild Potato Vine,Convolvulaceae,15.00 to 30.00,15.0,30.0,3.00 to 6.00,3.0,6.0,Vine,May to September,May,September,Medium,Full sun to part shade,full sun,part shade,Medium,6 to 8,6,8,White flowers with reddish purple eyes, North America
Ipomoea purpurea,Morning Glory,Convolvulaceae,6.00 to 10.00,6.0,10.0,3.00 to 6.00,3.0,6.0,Annual,June to October,June,October,Low,Full sun,full sun,,Medium,2 to 11,2,11,Purple with white throat, Mexico
Ipomoea quamoclit,Cypress Vine,Convolvulaceae,6.00 to 15.00,6.0,15.0,3.00 to 6.00,3.0,6.0,Vine,June to October,June,October,Low,Full sun,full sun,,Medium,11 to 12,11,12,Scarlet red, Tropical Americas
Ipomopsis rubra,Standing Cypress,Polemoniaceae,2.00 to 5.00,2.0,5.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,June to August,June,August,Low,Full sun,full sun,,Dry to medium,6 to 9,6,9,Red w/ yellow inside, Southeastern United States
Iresine herbstii,Herbst's Bloodleaf,Amaranthaceae,2.00 to 5.00,2.0,5.0,1.00 to 3.00,1.0,3.0,Herbaceous perennial,Flowers not showy,Flowers not showy,,Low,Full sun to part shade,full sun,part shade,Medium,10 to 12,10,12,Greenish-white," Brazil, Ecuador, Honduras, Nicaragua, Peru"
Iresine rhizomatosa,Bloodleaf,Amaranthaceae,2.00 to 4.00,2.0,4.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,August to October,August,October,Medium,Part shade to full shade,part shade,full shade,Medium to wet,5 to 8,5,8,White, Southeastern United States
Iris 'Adriatic Blue',Spuria Iris,Iridaceae,2.00 to 4.00,2.0,4.0,1.00 to 3.00,1.0,3.0,Herbaceous perennial,May to July,May,July,Medium,Full sun,full sun,,Medium,5 to 9,5,9,Deep blue standards & gold falls rimmed with blue,
Iris 'America's Cup',Tall Bearded Iris,Iridaceae,2.50 to 3.00,2.5,3.0,1.00 to 2.00,1.0,2.0,Herbaceous perennial,May,May,,Medium,Full sun,full sun,,Medium,3 to 10,3,10,White,
Iris aucheri x bucharica,Iris,Iridaceae,1.00 to 1.50,1.0,1.5,0.50 to 0.75,0.5,0.75,Herbaceous perennial,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium,6 to 9,6,9,White with yellow blotches on falls and crest,
